epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population,is_last,is_repeated
202101,2021-01-05,279,SP,Franca,3516200,city,7917,2224.49501,136,234,3,0.0296,355901,False,False
202101,2021-01-05,281,SP,Franco da Rocha,3516408,city,3455,2207.78059,11,139,0,0.0402,156492,False,False
202101,2021-01-04,278,SP,Franca,3516200,city,7781,2186.28214,8,231,1,0.0297,355901,False,False
202101,2021-01-04,280,SP,Franco da Rocha,3516408,city,3444,2200.75148,0,139,0,0.0404,156492,False,False
202101,2021-01-03,277,SP,Franca,3516200,city,7773,2184.03432,0,230,0,0.0296,355901,False,False
202101,2021-01-03,279,SP,Franco da Rocha,3516408,city,3444,2200.75148,1,139,0,0.0404,156492,False,False
202053,2021-01-02,276,SP,Franca,3516200,city,7773,2184.03432,0,230,0,0.0296,355901,False,False
202053,2021-01-02,278,SP,Franco da Rocha,3516408,city,3443,2200.11247,3,139,0,0.0404,156492,False,False
202053,2020-12-31,274,SP,Franca,3516200,city,7773,2184.03432,118,230,3,0.0296,355901,False,False
202053,2020-12-31,276,SP,Franco da Rocha,3516408,city,3440,2198.19543,14,139,0,0.0404,156492,False,False
202053,2020-12-29,272,SP,Franca,3516200,city,7655,2150.87904,79,227,4,0.0297,355901,False,False
202053,2020-12-29,274,SP,Franco da Rocha,3516408,city,3426,2189.24929,9,139,0,0.0406,156492,False,False
202053,2020-12-28,271,SP,Franca,3516200,city,7576,2128.68185,0,223,0,0.0294,355901,False,False
202053,2020-12-28,273,SP,Franco da Rocha,3516408,city,3417,2183.4982,2,139,1,0.0407,156492,False,False
202053,2020-12-27,270,SP,Franca,3516200,city,7576,2128.68185,0,223,0,0.0294,355901,False,False
202053,2020-12-27,272,SP,Franco da Rocha,3516408,city,3415,2182.22018,4,138,0,0.0404,156492,False,False
202052,2020-12-26,269,SP,Franca,3516200,city,7576,2128.68185,0,223,0,0.0294,355901,False,False
202052,2020-12-26,271,SP,Franco da Rocha,3516408,city,3411,2179.66414,0,138,0,0.0405,156492,False,False
202052,2020-12-25,268,SP,Franca,3516200,city,7576,2128.68185,0,223,0,0.0294,355901,False,False
202052,2020-12-25,270,SP,Franco da Rocha,3516408,city,3411,2179.66414,2,138,0,0.0405,156492,False,False
202052,2020-12-24,267,SP,Franca,3516200,city,7576,2128.68185,6,223,0,0.0294,355901,False,False
202052,2020-12-24,269,SP,Franco da Rocha,3516408,city,3409,2178.38612,9,138,0,0.0405,156492,False,False
202052,2020-12-23,266,SP,Franca,3516200,city,7570,2126.99599,68,223,0,0.0295,355901,False,False
202052,2020-12-23,268,SP,Franco da Rocha,3516408,city,3400,2172.63502,7,138,0,0.0406,156492,False,False
202052,2020-12-22,265,SP,Franca,3516200,city,7502,2107.88955,52,223,2,0.0297,355901,False,False
202052,2020-12-22,267,SP,Franco da Rocha,3516408,city,3393,2168.16195,16,138,0,0.0407,156492,False,False
202052,2020-12-21,264,SP,Franca,3516200,city,7450,2093.27875,4,221,0,0.0297,355901,False,False
202052,2020-12-21,266,SP,Franco da Rocha,3516408,city,3377,2157.93779,1,138,0,0.0409,156492,False,False
202052,2020-12-20,263,SP,Franca,3516200,city,7446,2092.15484,0,221,0,0.0297,355901,False,False
202052,2020-12-20,265,SP,Franco da Rocha,3516408,city,3376,2157.29878,0,138,0,0.0409,156492,False,False
202051,2020-12-19,262,SP,Franca,3516200,city,7446,2092.15484,59,221,0,0.0297,355901,False,False
202051,2020-12-19,264,SP,Franco da Rocha,3516408,city,3376,2157.29878,16,138,1,0.0409,156492,False,False
202051,2020-12-18,261,SP,Franca,3516200,city,7387,2075.5772,23,221,1,0.0299,355901,False,False
202051,2020-12-18,263,SP,Franco da Rocha,3516408,city,3360,2147.07461,17,137,1,0.0408,156492,False,False
202051,2020-12-17,260,SP,Franca,3516200,city,7364,2069.11473,97,220,-1,0.0299,355901,False,False
202051,2020-12-17,262,SP,Franco da Rocha,3516408,city,3343,2136.21144,38,136,1,0.0407,156492,False,False
